epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,361.041,0.79166,1.28691,0.65887,1.03388,0.91009,0.93548,0.93863,0.74535,0.91009,0.93548,0.91921,0.59358,0.7116,1.06821,0.66135,0.97605,0.0008516,0.0008516,0.0008516
31,377.451,0.78538,1.23065,0.6507,1.03789,0.86304,0.91935,0.92725,0.74682,0.86304,0.91935,0.92057,0.60865,0.6783,0.98823,0.63881,0.95836,0.000812,0.000812,0.000812
32,394.135,0.76735,1.22621,0.64352,1.01469,0.89431,0.8871,0.94172,0.76769,0.89431,0.8871,0.93498,0.58786,0.68819,1.01291,0.63734,0.93621,0.0007724,0.0007724,0.0007724
33,420.646,0.78049,1.21111,0.63179,1.01899,0.86495,0.92975,0.93702,0.7659,0.86495,0.92975,0.92439,0.58365,0.66564,1.03441,0.60062,0.92422,0.0007328,0.0007328,0.0007328
34,441.115,0.72272,1.18691,0.57431,1.00006,0.85376,0.95161,0.91348,0.74421,0.85376,0.95161,0.91603,0.58187,0.68904,1.00002,0.64375,0.93767,0.0006932,0.0006932,0.0006932
35,457.831,0.75671,1.1979,0.59799,0.99327,0.88902,0.93548,0.90675,0.73328,0.88902,0.93548,0.91441,0.57974,0.69151,1.01314,0.64768,0.94467,0.0006536,0.0006536,0.0006536
36,470.743,0.73251,1.17912,0.58007,1.01633,0.89315,0.94386,0.91339,0.73813,0.87789,0.92773,0.88093,0.60308,0.65698,0.99088,0.61678,0.9269,0.000614,0.000614,0.000614
37,483.312,0.68496,1.09464,0.56098,0.99151,0.91084,0.93548,0.92108,0.74574,0.91084,0.93548,0.91232,0.59905,0.65387,0.99288,0.59527,0.92365,0.0005744,0.0005744,0.0005744
38,496.121,0.70355,1.13527,0.55613,0.98509,0.92534,0.95161,0.92965,0.76838,0.92534,0.95161,0.9283,0.62432,0.66185,0.95188,0.60899,0.92708,0.0005348,0.0005348,0.0005348
39,512.547,0.73056,1.1594,0.57638,1.00021,0.86293,0.91935,0.91869,0.75834,0.83245,0.8871,0.85953,0.5494,0.68066,1.03007,0.6175,0.93203,0.0004952,0.0004952,0.0004952
40,526.735,0.70118,1.13322,0.55397,0.98973,0.87738,0.93548,0.91184,0.75137,0.87738,0.93548,0.92547,0.60674,0.68743,0.97046,0.59882,0.93891,0.0004556,0.0004556,0.0004556
41,573.982,0.67017,0.99694,0.55544,0.97231,0.89208,0.93329,0.93095,0.75918,0.89208,0.93329,0.92074,0.619,0.6763,0.97505,0.60795,0.93926,0.000416,0.000416,0.000416
42,595.736,0.66917,0.97736,0.53282,0.97499,0.93425,0.91675,0.9291,0.76639,0.91784,0.90093,0.90877,0.57946,0.64865,1.00375,0.61506,0.93844,0.0003764,0.0003764,0.0003764
43,609.953,0.64354,0.93828,0.5063,0.95182,0.94101,0.91935,0.92042,0.77283,0.94101,0.91935,0.91846,0.61393,0.63248,0.95852,0.60082,0.93944,0.0003368,0.0003368,0.0003368
44,621.716,0.62147,0.94915,0.51374,0.9419,0.92438,0.90323,0.91979,0.75342,0.90788,0.8871,0.90395,0.59914,0.66157,0.99522,0.5967,0.93634,0.0002972,0.0002972,0.0002972
45,634.791,0.61552,0.9454,0.49391,0.94851,0.88963,0.90323,0.91601,0.76333,0.87307,0.88755,0.89671,0.5899,0.64402,1.05098,0.60407,0.92259,0.0002576,0.0002576,0.0002576
46,648.673,0.60365,0.92239,0.48186,0.94462,0.90433,0.91479,0.91492,0.76474,0.88841,0.89892,0.8776,0.59416,0.62623,1.00536,0.5952,0.9173,0.000218,0.000218,0.000218
47,667.558,0.58709,0.89048,0.46715,0.92459,0.89203,0.93286,0.91213,0.7564,0.87672,0.91762,0.88538,0.61098,0.63411,0.98177,0.59983,0.91852,0.0001784,0.0001784,0.0001784
48,687.234,0.59542,0.91883,0.46916,0.9293,0.89926,0.91935,0.90543,0.75938,0.8832,0.90323,0.87753,0.59766,0.62835,0.98105,0.57766,0.909,0.0001388,0.0001388,0.0001388
49,708.358,0.57116,0.88873,0.45891,0.922,0.89879,0.91935,0.91594,0.77255,0.88287,0.90323,0.88626,0.59376,0.62184,0.9985,0.56833,0.90913,9.92e-05,9.92e-05,9.92e-05
50,730.691,0.58642,0.91386,0.45254,0.92276,0.89973,0.91935,0.91432,0.77472,0.86816,0.8871,0.86172,0.59453,0.62635,1.00238,0.57745,0.91539,5.96e-05,5.96e-05,5.96e-05
